ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00098,0009, ,1,2,6,162.719047619,1,1,1,0,0,0,100,100, , ,2,2,0,0,400,0,0,0,0,0,600,1000, , ,0,50,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1150,1750, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00099,0010, ,1,2,6,162.719047619,1,1,1,0,0,0,100,0, , ,2, ,0,0,200,0,0,0,100,0,400,100, , ,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,150,550, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00116,0011, ,1,2,6,162.719047619,1,1,1,0,0,0,0,0, , , , ,0,0,160,0,0,0,0,0,160,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,160, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00123,0012, ,1,2,6,162.719047619,1,1,0,0,0,0,300,0, , ,6, ,0,0,850,0,0,0,0,0,1150, , , , , , , , , , , , , , , , , , , , , , , ,1150, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00137,0013, ,1,2,6,162.719047619,1,1,1,0,0,0,200,0, , ,4, ,0,0,170,0,0,0,0,0,370,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,670, 
2015,21,PUNO,12,SANDIA,03,LIMBANI,16891,00152,0014, ,1,2,6,162.719047619,1,1,1,0,0,0,80,0, , ,2, ,0,0,300,0,0,0,0,0,380,0, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,380, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00001,0001, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,0,200,0,0,0,300,500, , , , , , , , , , , , , , , , , , , , , , , ,500, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00009,0002, ,1,3,7,50.0595238095,1,1,0,0,0,0,100,0, , ,2, ,0,0,0,100,0,0,0,300,500, , , , , , , , , , , , , , , , , , , , , , , ,500, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00011,0003, ,1,3,7,50.0595238095,1,1,1,0,0,0,400,0, , ,10, ,0,0,0,200,0,0,0,1000,1600,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,1900, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16892,00020,0004, ,1,3,7,50.0595238095,1,1,0,0,0,0,0,0, , , , ,0,0,0,50,0,0,0,200,250, , , , , , , , , , , , , , , , , , , , , , , ,250, 
