ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00087,11,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,15,15,2000,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2000,2015, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00091,12,1,3,7,50.8511904761905,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,400,0,0,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,500,500, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00101,13,1,3,7,50.8511904761905,1,1,0,0,0,0,200,0, , ,1, ,0,0,0,0,0,0,0,50,250, , , , , , , , , , , , , , , , , , , , , ,250, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00115,14,1,3,7,50.8511904761905,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,36,36, , , , , , , , , , , , , , , , , , , , , ,36, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,1,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,16,60,76,800,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,876, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00015,2,1,3,7,54.7628205128205,1,1,1,0,0,0,480,0, , ,2, ,0,0,0,0,0,0,100,60,640,350,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,350,990, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00040,3,1,3,7,54.7628205128205,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,50,30,80, , , , , , , , , , , , , , , , , , , , , ,80, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00051,4,1,3,7,54.7628205128205,1,1,1,0,0,0,400,0, , ,2, ,0,0,0,0,0,0,0,0,400,580,0,0,0,20,0,0,0,0,0, , , , ,0,0,0,0,0,0,600,1000, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,5,1,3,7,54.7628205128205,1,1,1,0,0,0,0,50, , , ,1,0,0,0,0,0,0,0,0,50,800,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,850, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00087,6,1,3,7,54.7628205128205,1,1,1,0,0,0,750,0, , ,15, ,0,0,5681,0,0,0,0,0,6431,2000,100,100,100,0,0,0,0,0,0, , , , ,2232,0,0,0,0,0,4532,10963, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7,1,3,7,54.7628205128205,1,1,1,0,0,0,100,0, , ,1, ,0,0,0,0,0,0,0,0,100,500,0,20,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,540,640, 
